Crop,Year,State,Area (\'000 Hectares),Production (\'000 Tonnes),Yield (Kg per Ha))
Finger Millet (Ragi),2012-13,Telangana,2,3,"1,500.00"
Finger Millet (Ragi),2013-14,Telangana,2,3,"1,500.00"
Finger Millet (Ragi),2014-15,Telangana,2,2,"1,000.00"
Finger Millet (Ragi),2015-16,Telangana,1,1,"1,000.00"
Finger Millet (Ragi),2016-17,Telangana,1,1,"1,000.00"
Finger Millet (Ragi),2017-18,Telangana,1,1.14,"1,137.00"
Finger Millet (Ragi),2018-19,Telangana,1,0.98,977
Finger Millet (Ragi),2019-20,Telangana,2,3.16,"1,581.00"
Finger Millet (Ragi),1966-67,Uttar Pradesh,164.5,107.5,653.5
Finger Millet (Ragi),1967-68,Uttar Pradesh,181.9,146.1,803.19
Finger Millet (Ragi),1968-69,Uttar Pradesh,212.2,136.2,641.85
Finger Millet (Ragi),1969-70,Uttar Pradesh,245.2,195.4,796.9
Finger Millet (Ragi),1970-71,Uttar Pradesh,250.5,195.9,782.04
Finger Millet (Ragi),1971-72,Uttar Pradesh,273.8,289.1,"1,055.88"
Finger Millet (Ragi),1972-73,Uttar Pradesh,259.3,257.7,993.83
Finger Millet (Ragi),1973-74,Uttar Pradesh,202.9,195,961.06
Finger Millet (Ragi),1974-75,Uttar Pradesh,212.6,214.8,"1,010.35"
Finger Millet (Ragi),1975-76,Uttar Pradesh,183.5,186.2,"1,014.71"
Finger Millet (Ragi),1976-77,Uttar Pradesh,193.7,186.7,963.86
Finger Millet (Ragi),1977-78,Uttar Pradesh,174.7,168.1,962.22
Finger Millet (Ragi),1978-79,Uttar Pradesh,173.5,169.5,976.95
Finger Millet (Ragi),1979-80,Uttar Pradesh,169.9,111.9,658.62
Finger Millet (Ragi),1980-81,Uttar Pradesh,170.5,164.2,963.05
Finger Millet (Ragi),1981-82,Uttar Pradesh,163.4,145.5,890.45
Finger Millet (Ragi),1982-83,Uttar Pradesh,162.9,155.6,955.19
Finger Millet (Ragi),1983-84,Uttar Pradesh,165.4,177,"1,070.13"
Finger Millet (Ragi),1984-85,Uttar Pradesh,156.9,170.6,"1,087.32"
Finger Millet (Ragi),1985-86,Uttar Pradesh,148.8,169.6,"1,139.78"
Finger Millet (Ragi),1986-87,Uttar Pradesh,162.8,178.3,"1,095.21"
Finger Millet (Ragi),1987-88,Uttar Pradesh,146.3,107.1,732.06
Finger Millet (Ragi),1988-89,Uttar Pradesh,149.2,174.5,"1,169.57"
Finger Millet (Ragi),1989-90,Uttar Pradesh,162.3,200.1,"1,232.90"
Finger Millet (Ragi),1990-91,Uttar Pradesh,140.5,171,"1,217.08"
Finger Millet (Ragi),1991-92,Uttar Pradesh,139.7,171.6,"1,228.35"
Finger Millet (Ragi),1992-93,Uttar Pradesh,140.2,176.7,"1,260.34"
Finger Millet (Ragi),1993-94,Uttar Pradesh,142.4,181.7,"1,275.98"
Finger Millet (Ragi),1994-95,Uttar Pradesh,146.5,191,"1,303.75"
Finger Millet (Ragi),1995-96,Uttar Pradesh,137.8,186.2,"1,351.23"
Finger Millet (Ragi),1996-97,Uttar Pradesh,143.9,184.8,"1,284.23"
Finger Millet (Ragi),1997-98,Uttar Pradesh,143.9,185,"1,285.62"
Finger Millet (Ragi),1998-99,Uttar Pradesh,134.8,184.4,"1,367.95"
Finger Millet (Ragi),1999-00,Uttar Pradesh,138,191,"1,384.06"
Finger Millet (Ragi),2000-01,Uttar Pradesh,1,1,"1,000.00"
Finger Millet (Ragi),2001-02,Uttar Pradesh,0.4,0.6,"1,500.00"
Finger Millet (Ragi),2002-03,Uttar Pradesh,0.6,0.9,"1,500.00"
Finger Millet (Ragi),2003-04,Uttar Pradesh,0.7,1,"1,428.57"
Finger Millet (Ragi),2004-05,Uttar Pradesh,0.7,0.9,"1,285.71"
Finger Millet (Ragi),2005-06,Uttar Pradesh,0.7,0.9,"1,285.71"
Finger Millet (Ragi),2006-07,Uttar Pradesh,0,0,
Finger Millet (Ragi),2007-08,Uttar Pradesh,1,1,"1,000.00"
Finger Millet (Ragi),2008-09,Uttar Pradesh,0.6,0.8,"1,333.33"
Finger Millet (Ragi),2009-10,Uttar Pradesh,0.6,0.8,"1,333.33"
Finger Millet (Ragi),2010-11,Uttar Pradesh,0,0,
Finger Millet (Ragi),2011-12,Uttar Pradesh,,,
Finger Millet (Ragi),2012-13,Uttar Pradesh,124.6,,0
Finger Millet (Ragi),2013-14,Uttar Pradesh,112.2,,0
Finger Millet (Ragi),2014-15,Uttar Pradesh,112.8,,0
Finger Millet (Ragi),2015-16,Uttar Pradesh,107.4,,0
Finger Millet (Ragi),2016-17,Uttar Pradesh,107,,0
Finger Millet (Ragi),2017-18,Uttar Pradesh,103,,0
Finger Millet (Ragi),1995-96,Uttarakhand,12.9,,0
Finger Millet (Ragi),1996-97,Uttarakhand,,,
Finger Millet (Ragi),1997-98,Uttarakhand,,,
Finger Millet (Ragi),1998-99,Uttarakhand,,,
Finger Millet (Ragi),1999-00,Uttarakhand,,,
Finger Millet (Ragi),2000-01,Uttarakhand,151,193.3,"1,280.13"
Finger Millet (Ragi),2001-02,Uttarakhand,141.7,176,"1,242.06"
Finger Millet (Ragi),2002-03,Uttarakhand,156,154,987.18
Finger Millet (Ragi),2003-04,Uttarakhand,136,174,"1,279.41"
Finger Millet (Ragi),2004-05,Uttarakhand,167,190,"1,137.72"
Finger Millet (Ragi),2005-06,Uttarakhand,140,174,"1,242.86"
Finger Millet (Ragi),2006-07,Uttarakhand,136,186,"1,367.65"
Finger Millet (Ragi),2007-08,Uttarakhand,128,179,"1,398.44"
Finger Millet (Ragi),2008-09,Uttarakhand,135,193,"1,429.63"
Finger Millet (Ragi),2009-10,Uttarakhand,132,163,"1,234.85"
Finger Millet (Ragi),2010-11,Uttarakhand,128.1,170.5,"1,330.99"
Finger Millet (Ragi),2011-12,Uttarakhand,125,174,"1,392.00"
Finger Millet (Ragi),2012-13,Uttarakhand,,173.5,
Finger Millet (Ragi),2013-14,Uttarakhand,,153.9,
Finger Millet (Ragi),2014-15,Uttarakhand,,155.7,
Finger Millet (Ragi),2015-16,Uttarakhand,,150.6,
Finger Millet (Ragi),2016-17,Uttarakhand,,160,
Finger Millet (Ragi),2017-18,Uttarakhand,,140.8,
Finger Millet (Ragi),2018-19,Uttarakhand,92,109.85,"1,194.00"
Finger Millet (Ragi),2019-20,Uttarakhand,84,120.12,"1,430.00"
Finger Millet (Ragi),1966-67,West Bengal,8.5,4,470.59
Finger Millet (Ragi),1967-68,West Bengal,9.9,7.6,767.68
Finger Millet (Ragi),1968-69,West Bengal,9.5,7.5,789.47
Finger Millet (Ragi),1969-70,West Bengal,8.9,7.3,820.22
Finger Millet (Ragi),1970-71,West Bengal,9.5,7.5,789.47
Finger Millet (Ragi),1971-72,West Bengal,7.6,6.2,815.79
Finger Millet (Ragi),1972-73,West Bengal,7.4,6.2,837.84
Finger Millet (Ragi),1973-74,West Bengal,7.8,6.4,820.51
Finger Millet (Ragi),1974-75,West Bengal,14.5,9.3,641.38
Finger Millet (Ragi),1975-76,West Bengal,19.3,14,725.39
Finger Millet (Ragi),1976-77,West Bengal,14.1,11.2,794.33
Finger Millet (Ragi),1977-78,West Bengal,13.3,10.4,781.95
Finger Millet (Ragi),1978-79,West Bengal,12.6,8.1,642.86
Finger Millet (Ragi),1979-80,West Bengal,13.4,9.1,679.1
Finger Millet (Ragi),1980-81,West Bengal,16.2,9.8,604.94
Finger Millet (Ragi),1981-82,West Bengal,16.8,9.7,577.38
Finger Millet (Ragi),1982-83,West Bengal,14.3,8.3,580.42
Finger Millet (Ragi),1983-84,West Bengal,13.6,9,661.76
Finger Millet (Ragi),1984-85,West Bengal,14.6,10.1,691.78
Finger Millet (Ragi),1985-86,West Bengal,13.9,9.6,690.65
Finger Millet (Ragi),1986-87,West Bengal,16.1,12,745.34
Finger Millet (Ragi),1987-88,West Bengal,15.3,10.9,712.42
Finger Millet (Ragi),1988-89,West Bengal,14.9,12.9,865.77
Finger Millet (Ragi),1989-90,West Bengal,13.6,12.1,889.71
Finger Millet (Ragi),1990-91,West Bengal,13.1,10.9,832.06
Finger Millet (Ragi),1991-92,West Bengal,12.8,11.8,921.88
Finger Millet (Ragi),1992-93,West Bengal,12.5,11.7,936
Finger Millet (Ragi),1993-94,West Bengal,12.4,11.7,943.55
Finger Millet (Ragi),1994-95,West Bengal,12.4,13.2,"1,064.52"
Finger Millet (Ragi),1995-96,West Bengal,1.8,13.6,"7,555.56"
Finger Millet (Ragi),1996-97,West Bengal,12.5,14,"1,120.00"
Finger Millet (Ragi),1997-98,West Bengal,12.6,15.3,"1,214.29"
Finger Millet (Ragi),1998-99,West Bengal,12.9,15.6,"1,209.30"
Finger Millet (Ragi),1999-00,West Bengal,12.5,15.1,"1,208.00"
Finger Millet (Ragi),2000-01,West Bengal,12.7,15.2,"1,196.85"
Finger Millet (Ragi),2001-02,West Bengal,12.7,14.8,"1,165.35"
Finger Millet (Ragi),2002-03,West Bengal,13.5,15.6,"1,155.56"
Finger Millet (Ragi),2003-04,West Bengal,13.6,15.6,"1,147.06"
Finger Millet (Ragi),2004-05,West Bengal,12.4,15.1,"1,217.74"
Finger Millet (Ragi),2005-06,West Bengal,12.6,15.3,"1,214.29"
Finger Millet (Ragi),2006-07,West Bengal,13.1,15,"1,145.04"
Finger Millet (Ragi),2007-08,West Bengal,13.1,15,"1,145.04"
Finger Millet (Ragi),2008-09,West Bengal,12.7,14.7,"1,157.48"
Finger Millet (Ragi),2009-10,West Bengal,11.77,13.9,"1,180.31"
Finger Millet (Ragi),2010-11,West Bengal,11.7,13.8,"1,179.49"
Finger Millet (Ragi),2011-12,West Bengal,8.42,8.24,978.62
Finger Millet (Ragi),2012-13,West Bengal,10,12,"1,200.00"
Finger Millet (Ragi),2013-14,West Bengal,10.1,11.1,"1,099.01"
Finger Millet (Ragi),2014-15,West Bengal,10.1,11.1,"1,099.01"
Finger Millet (Ragi),2015-16,West Bengal,11,12.5,"1,136.36"
Finger Millet (Ragi),2016-17,West Bengal,9.9,11,"1,111.11"
Finger Millet (Ragi),2017-18,West Bengal,12,13.56,"1,130.00"
Finger Millet (Ragi),2018-19,West Bengal,3.27,2.93,895
Finger Millet (Ragi),2019-20,West Bengal,2.85,4.17,"1,464.00"
Minor Millets,1966-67,All India,"4,584.00","1,488.50",324.72
Minor Millets,1967-68,All India,"4,857.20","1,907.20",392.65
Minor Millets,1968-69,All India,"4,746.20","1,803.70",380.03
Minor Millets,1969-70,All India,"4,732.70","1,732.00",365.96
Minor Millets,1970-71,All India,"4,782.90","1,987.80",415.61
Minor Millets,1971-72,All India,"4,477.30","1,669.40",372.86
Minor Millets,1972-73,All India,"4,265.20","1,552.20",363.92
Minor Millets,1973-74,All India,"4,567.10","1,965.90",430.45
Minor Millets,1974-75,All India,"4,466.30","1,613.40",361.24
Minor Millets,1975-76,All India,"4,672.50","1,924.10",411.79
Minor Millets,1976-77,All India,"4,679.50","1,751.80",374.36
Minor Millets,1977-78,All India,"4,573.80","2,069.80",452.53
Minor Millets,1978-79,All India,"4,396.80","1,893.90",430.75
Minor Millets,1979-80,All India,"4,001.70","1,424.70",356.02
Minor Millets,1980-81,All India,"3,976.30","1,574.60",396
Minor Millets,1981-82,All India,"3,786.10","1,638.40",432.74
Minor Millets,1982-83,All India,"3,499.40","1,229.10",351.23
Minor Millets,1983-84,All India,"3,637.40","1,675.40",460.6
Minor Millets,1984-85,All India,"3,213.80","1,194.20",371.59
Minor Millets,1985-86,All India,"3,154.80","1,217.20",385.82
Minor Millets,1986-87,All India,"2,974.60","1,161.50",390.47
Minor Millets,1987-88,All India,"2,875.70","1,248.60",434.19
Minor Millets,1988-89,All India,"2,742.50","1,163.50",424.25
Minor Millets,1989-90,All India,"2,703.10","1,305.50",482.96
Minor Millets,1990-91,All India,"2,447.40","1,190.00",486.23
Minor Millets,1991-92,All India,"2,087.60",882.1,422.54
Minor Millets,1992-93,All India,"1,983.00",868.8,438.12
Minor Millets,1993-94,All India,"1,887.50",917.1,485.88
Minor Millets,1994-95,All India,"1,791.70",798,445.39
Minor Millets,1995-96,All India,"1,662.20",778.8,468.54
Minor Millets,1996-97,All India,"1,601.10",728.2,454.81
Minor Millets,1997-98,All India,"1,529.40",639.9,418.4
Minor Millets,1998-99,All India,"1,494.60",670.8,448.82
Minor Millets,1999-00,All India,"1,410.90",618.2,438.16
Minor Millets,2000-01,All India,"1,399.80",575,410.77
Minor Millets,2001-02,All India,"1,286.10",564.8,439.16
Minor Millets,2002-03,All India,"1,176.20",447.4,380.38
Minor Millets,2003-04,All India,"1,166.40",552.8,473.94
Minor Millets,2004-05,All India,"1,076.00",465.92,433.01
Minor Millets,2005-06,All India,"1,039.30",459.6,442.22
Minor Millets,2006-07,All India,985.2,467.6,474.62
Minor Millets,2007-08,All India,"1,014.20",538.7,531.16
Minor Millets,2008-09,All India,880.2,432.8,491.71
Minor Millets,2009-10,All India,805.63,370.02,459.3
Minor Millets,2010-11,All India,774.93,429.97,554.84
Minor Millets,2011-12,All India,798.78,451.53,565.28
Minor Millets,2012-13,All India,754.09,435.65,577.72
Minor Millets,2013-14,All India,682.3,429.91,630.09
Minor Millets,2014-15,All India,589.59,385.87,654.47
Minor Millets,2015-16,All India,649.8,390.84,601.48
Minor Millets,2016-17,All India,619.11,441.94,713.84
Minor Millets,2017-18,All India,546.27,438.99,803.6
Minor Millets,2018-19,All India,453.75,333,734
Minor Millets,2019-20,All India,458.35,370.81,809
Minor Millets,2018-19,All India,453.75,333,733.88
Minor Millets,2019-20,All India,458.35,370.81,809.01
Minor Millets,1966-67,Andhra Pradesh,924.5,246.9,267.06
Minor Millets,1967-68,Andhra Pradesh,859.8,215.4,250.52
Minor Millets,1968-69,Andhra Pradesh,804,180,223.88
Minor Millets,1969-70,Andhra Pradesh,850.5,184.7,217.17
Minor Millets,1970-71,Andhra Pradesh,799.1,327.4,409.71
Minor Millets,1971-72,Andhra Pradesh,687.6,256.6,373.18
Minor Millets,1972-73,Andhra Pradesh,636.6,218.8,343.7
Minor Millets,1973-74,Andhra Pradesh,737.4,326.5,442.77
Minor Millets,1974-75,Andhra Pradesh,708.3,268.6,379.22
Minor Millets,1975-76,Andhra Pradesh,805.3,294.7,365.95
Minor Millets,1976-77,Andhra Pradesh,761.8,261.9,343.79
Minor Millets,1977-78,Andhra Pradesh,758.5,397.1,523.53
Minor Millets,1978-79,Andhra Pradesh,683.9,336.1,491.45
Minor Millets,1979-80,Andhra Pradesh,575.6,273.4,474.98
Minor Millets,1980-81,Andhra Pradesh,551.1,170.7,309.74
Minor Millets,1981-82,Andhra Pradesh,603.5,371,614.75
Minor Millets,1982-83,Andhra Pradesh,474,145.9,307.81
Minor Millets,1983-84,Andhra Pradesh,473.9,239.9,506.22
Minor Millets,1984-85,Andhra Pradesh,402.3,125.5,311.96
Minor Millets,1985-86,Andhra Pradesh,364.6,133.2,365.33
Minor Millets,1986-87,Andhra Pradesh,329.5,118.5,359.64
Minor Millets,1987-88,Andhra Pradesh,323.9,147,453.84
Minor Millets,1988-89,Andhra Pradesh,246,106.1,431.3
Minor Millets,1989-90,Andhra Pradesh,220.3,160.9,730.37
Minor Millets,1990-91,Andhra Pradesh,189.1,115.3,609.73
Minor Millets,1991-92,Andhra Pradesh,119.9,69.3,577.98
Minor Millets,1992-93,Andhra Pradesh,109.5,66.1,603.65
Minor Millets,1993-94,Andhra Pradesh,113.1,86,760.39
Minor Millets,1994-95,Andhra Pradesh,97.3,46.9,482.01
Minor Millets,1995-96,Andhra Pradesh,98.3,72.8,740.59
Minor Millets,1996-97,Andhra Pradesh,84,55.2,657.14
Minor Millets,1997-98,Andhra Pradesh,65.9,35.6,540.21
Minor Millets,1998-99,Andhra Pradesh,74,47,635.14
Minor Millets,1999-00,Andhra Pradesh,63.7,33.6,527.47
Minor Millets,2000-01,Andhra Pradesh,66.5,39.8,598.5
Minor Millets,2001-02,Andhra Pradesh,57,34,596.49
Minor Millets,2002-03,Andhra Pradesh,48,23,479.17
Minor Millets,2003-04,Andhra Pradesh,50,30,600
Minor Millets,2004-05,Andhra Pradesh,48,23,479.17
Minor Millets,2005-06,Andhra Pradesh,44,26,590.91
Minor Millets,2006-07,Andhra Pradesh,34,17,500
Minor Millets,2007-08,Andhra Pradesh,35,22,628.57
Minor Millets,2008-09,Andhra Pradesh,30,16,533.33
Minor Millets,2009-10,Andhra Pradesh,25,13,520
Minor Millets,2010-11,Andhra Pradesh,30,29,966.67
Minor Millets,2011-12,Andhra Pradesh,29,29,"1,000.00"
Minor Millets,2012-13,Andhra Pradesh,37.03,36,972.18
Minor Millets,2013-14,Andhra Pradesh,28,22,785.71
Minor Millets,2014-15,Andhra Pradesh,20,14,700
Minor Millets,2015-16,Andhra Pradesh,51,49,960.78
Minor Millets,2016-17,Andhra Pradesh,31,24,774.19
Minor Millets,2017-18,Andhra Pradesh,21,16,761.9
Minor Millets,2018-19,Andhra Pradesh,13,6,461.54
Minor Millets,2019-20,Andhra Pradesh,22,22,"1,000.00"
Minor Millets,1975-76,Arunachal Pradesh,15.1,9.5,629.14
Minor Millets,1976-77,Arunachal Pradesh,15.7,10.5,668.79
Minor Millets,1977-78,Arunachal Pradesh,15.7,10.5,668.79
Minor Millets,1978-79,Arunachal Pradesh,16.5,13.7,830.3
Minor Millets,1979-80,Arunachal Pradesh,11.9,10.3,865.55
Minor Millets,1980-81,Arunachal Pradesh,16.9,14.8,875.74
Minor Millets,1981-82,Arunachal Pradesh,18,15.8,877.78
Minor Millets,1982-83,Arunachal Pradesh,18,17.3,961.11
Minor Millets,1983-84,Arunachal Pradesh,20.8,14.8,711.54
Minor Millets,1984-85,Arunachal Pradesh,21.7,16.2,746.54
Minor Millets,1985-86,Arunachal Pradesh,18.8,17.7,941.49
Minor Millets,1986-87,Arunachal Pradesh,27,20,740.74
Minor Millets,1987-88,Arunachal Pradesh,26.2,14.4,549.62
Minor Millets,1988-89,Arunachal Pradesh,20.3,16.9,832.51
Minor Millets,1989-90,Arunachal Pradesh,19.7,19,964.47
Minor Millets,1990-91,Arunachal Pradesh,19.8,19.4,979.8
Minor Millets,1991-92,Arunachal Pradesh,19.9,19.5,979.9
Minor Millets,1992-93,Arunachal Pradesh,22.3,20,896.86
Minor Millets,1993-94,Arunachal Pradesh,22.4,27.5,"1,227.68"
Minor Millets,1994-95,Arunachal Pradesh,22.4,27.5,"1,227.68"
Minor Millets,1995-96,Arunachal Pradesh,20.8,20.6,990.38
Minor Millets,1996-97,Arunachal Pradesh,18.6,17.8,956.99
Minor Millets,1997-98,Arunachal Pradesh,18.5,18,972.97
Minor Millets,1998-99,Arunachal Pradesh,18,15.6,866.67
Minor Millets,1999-00,Arunachal Pradesh,19.8,17.1,863.64
Minor Millets,2000-01,Arunachal Pradesh,20.1,17.3,860.7
Minor Millets,2001-02,Arunachal Pradesh,19.7,17.9,908.63
Minor Millets,2002-03,Arunachal Pradesh,21.1,19.4,919.43
Minor Millets,2003-04,Arunachal Pradesh,22.3,21.3,955.16
Minor Millets,2004-05,Arunachal Pradesh,22.4,21.4,955.36
Minor Millets,2005-06,Arunachal Pradesh,22.8,22.4,982.46
Minor Millets,2006-07,Arunachal Pradesh,21.7,21.4,986.18
Minor Millets,2007-08,Arunachal Pradesh,22.3,19.4,869.96
Minor Millets,2008-09,Arunachal Pradesh,22.3,18.9,847.53
Minor Millets,2009-10,Arunachal Pradesh,21.4,18.4,859.81
Minor Millets,2010-11,Arunachal Pradesh,21.66,20.04,925.07
Minor Millets,2011-12,Arunachal Pradesh,22,22,"1,000.00"
Minor Millets,2012-13,Arunachal Pradesh,22.68,23.41,"1,032.41"
Minor Millets,2013-14,Arunachal Pradesh,22.7,23.83,"1,049.78"
Minor Millets,2014-15,Arunachal Pradesh,26,27,"1,038.46"
Minor Millets,2015-16,Arunachal Pradesh,27.5,27.56,"1,002.18"
Minor Millets,2016-17,Arunachal Pradesh,5.28,27.03,"5,118.35"
Minor Millets,2017-18,Arunachal Pradesh,26.77,27.3,"1,020.00"
Minor Millets,2018-19,Arunachal Pradesh,26.78,27.39,"1,023.00"
Minor Millets,2019-20,Arunachal Pradesh,26.76,27.43,"1,025.00"
Minor Millets,1966-67,Assam,6.4,3.2,500
Minor Millets,1967-68,Assam,6.5,3.2,492.31
Minor Millets,1968-69,Assam,6,3,500
Minor Millets,1969-70,Assam,6.3,3.1,492.06
Minor Millets,1970-71,Assam,5.5,2.7,490.91
Minor Millets,1971-72,Assam,5.9,2.9,491.53
Minor Millets,1972-73,Assam,9.9,4.9,494.95
Minor Millets,1973-74,Assam,8.6,4.4,511.63
Minor Millets,1974-75,Assam,10,5.1,510
Minor Millets,1975-76,Assam,10.6,5.2,490.57
Minor Millets,1976-77,Assam,7.4,3.6,486.49
Minor Millets,1977-78,Assam,8,3.9,487.5
Minor Millets,1978-79,Assam,8.8,4.3,488.64
Minor Millets,1979-80,Assam,8.7,4.3,494.25
Minor Millets,1980-81,Assam,8.4,4.1,488.1
Minor Millets,1981-82,Assam,8.1,4.1,506.17
Minor Millets,1982-83,Assam,8.1,4,493.83
Minor Millets,1983-84,Assam,9.7,5,515.46
Minor Millets,1984-85,Assam,12,6.2,516.67
Minor Millets,1985-86,Assam,9.9,5.1,515.15
Minor Millets,1986-87,Assam,10,5.1,510
Minor Millets,1987-88,Assam,10.1,5.3,524.75
Minor Millets,1988-89,Assam,10.5,5.2,495.24
Minor Millets,1989-90,Assam,10.1,5.3,524.75
Minor Millets,1990-91,Assam,10.5,5.4,514.29
Minor Millets,1991-92,Assam,10.4,5.7,548.08
Minor Millets,1992-93,Assam,9.3,5,537.63
Minor Millets,1993-94,Assam,9.1,4.5,494.51
Minor Millets,1994-95,Assam,9,4.5,500
Minor Millets,1995-96,Assam,11.5,6,521.74
Minor Millets,1996-97,Assam,10.4,5.4,519.23
Minor Millets,1997-98,Assam,10.5,5.4,514.29
Minor Millets,1998-99,Assam,10.5,5.5,523.81
Minor Millets,1999-00,Assam,11,5,454.55
Minor Millets,2000-01,Assam,10.6,5.4,509.43
Minor Millets,2001-02,Assam,8,4,500
Minor Millets,2002-03,Assam,8,4,500
Minor Millets,2003-04,Assam,8,4,500
Minor Millets,2004-05,Assam,8,4.1,512.5
Minor Millets,2005-06,Assam,7.7,3.9,506.49
Minor Millets,2006-07,Assam,7,4,571.43
Minor Millets,2007-08,Assam,7,4,571.43
Minor Millets,2008-09,Assam,5.4,2.8,518.52
Minor Millets,2009-10,Assam,6.6,3.1,469.7
Minor Millets,2010-11,Assam,5.19,2.65,510.99
Minor Millets,2011-12,Assam,5.63,2.87,509.77
Minor Millets,2012-13,Assam,4.43,2.19,494.36
Minor Millets,2013-14,Assam,5.44,3.34,613.97
Minor Millets,2014-15,Assam,5.34,3.22,603
Minor Millets,2015-16,Assam,6.6,4.45,673.58
Minor Millets,2016-17,Assam,4.75,2.93,616.34
Minor Millets,2017-18,Assam,5.23,3.06,584
Minor Millets,2018-19,Assam,5.21,3.06,587
Minor Millets,2019-20,Assam,5.21,3.23,619
Minor Millets,1966-67,Bihar,195.9,75.8,386.93
Minor Millets,1967-68,Bihar,247.7,110.3,445.3
Minor Millets,1968-69,Bihar,239.1,95.9,401.09
Minor Millets,1969-70,Bihar,224.5,102.5,456.57
Minor Millets,1970-71,Bihar,224.3,96.9,432.01
Minor Millets,1971-72,Bihar,184.8,62.3,337.12
Minor Millets,1972-73,Bihar,183.6,67.8,369.28
Minor Millets,1973-74,Bihar,198.1,74.5,376.07
Minor Millets,1974-75,Bihar,191.7,65.8,343.24
Minor Millets,1975-76,Bihar,195.1,65.3,334.7
Minor Millets,1976-77,Bihar,184.4,69.1,374.73
Minor Millets,1977-78,Bihar,179.8,66.9,372.08
Minor Millets,1978-79,Bihar,164.6,70.8,430.13
Minor Millets,1979-80,Bihar,140.8,47.5,337.36
Minor Millets,1980-81,Bihar,149.4,52.8,353.41
Minor Millets,1981-82,Bihar,136.8,54.5,398.39
Minor Millets,1982-83,Bihar,112.9,36.8,325.95
Minor Millets,1983-84,Bihar,119.2,58.6,491.61
Minor Millets,1984-85,Bihar,107.2,50,466.42
Minor Millets,1985-86,Bihar,105.9,66.5,627.95
Minor Millets,1986-87,Bihar,92.2,57.6,624.73
Minor Millets,1987-88,Bihar,79.3,41.9,528.37
Minor Millets,1988-89,Bihar,75.8,47.6,627.97
Minor Millets,1989-90,Bihar,69.8,41.7,597.42
Minor Millets,1990-91,Bihar,65.9,35.4,537.18
Minor Millets,1991-92,Bihar,57.8,40.5,700.69
Minor Millets,1992-93,Bihar,53,34.3,647.17
Minor Millets,1993-94,Bihar,53.3,34.2,641.65
Minor Millets,1994-95,Bihar,45.2,24.7,546.46
Minor Millets,1995-96,Bihar,44,21.6,490.91
Minor Millets,1996-97,Bihar,48,29.5,614.58
Minor Millets,1997-98,Bihar,39.5,20.3,513.92
Minor Millets,1998-99,Bihar,32,18.3,571.88
Minor Millets,1999-00,Bihar,32.4,14.9,459.88
Minor Millets,2000-01,Bihar,7.8,4.3,551.28
Minor Millets,2001-02,Bihar,7,5.1,728.57
Minor Millets,2002-03,Bihar,6.5,4.9,753.85
Minor Millets,2003-04,Bihar,3,2.3,766.67
Minor Millets,2004-05,Bihar,2.8,2.32,828.57
Minor Millets,2005-06,Bihar,7.4,5.5,743.24
Minor Millets,2006-07,Bihar,6.2,4.6,741.94
Minor Millets,2007-08,Bihar,4.6,3.5,760.87
Minor Millets,2008-09,Bihar,7.8,6,769.23
Minor Millets,2009-10,Bihar,4,3,750
Minor Millets,2010-11,Bihar,5.1,3.89,762.75
Minor Millets,2011-12,Bihar,5.65,4.3,761.06
Minor Millets,2012-13,Bihar,2.89,2.21,764.71
Minor Millets,2013-14,Bihar,2.77,2.09,754.51
Minor Millets,2014-15,Bihar,2.61,1.98,758.62
Minor Millets,2015-16,Bihar,1.77,1.34,756.36
Minor Millets,2016-17,Bihar,3.2,3.1,966.89
Minor Millets,2017-18,Bihar,4.4,3.31,752
Minor Millets,2018-19,Bihar,9.32,7,751
Minor Millets,2019-20,Bihar,2.05,1.55,755
Minor Millets,2000-01,Chattisgarh,289.6,45.9,158.49
Minor Millets,2001-02,Chattisgarh,275,68.2,248
Minor Millets,2002-03,Chattisgarh,260,40.7,156.54
Minor Millets,2003-04,Chattisgarh,244.7,62.9,257.05
Minor Millets,2004-05,Chattisgarh,236.7,47.5,200.68
Minor Millets,2005-06,Chattisgarh,226.2,41.3,182.58
Minor Millets,2006-07,Chattisgarh,216,48.6,225
Minor Millets,2007-08,Chattisgarh,199,52.1,261.81
Minor Millets,2008-09,Chattisgarh,163.7,31.7,193.65
Minor Millets,2009-10,Chattisgarh,153.4,28,182.53
Minor Millets,2010-11,Chattisgarh,160.4,33.8,210.72
Minor Millets,2011-12,Chattisgarh,148.82,29.77,200.04
Minor Millets,2012-13,Chattisgarh,140.5,30.4,216.37
Minor Millets,2013-14,Chattisgarh,112.8,25.1,222.52
Minor Millets,2014-15,Chattisgarh,119,27.6,231.93
Minor Millets,2015-16,Chattisgarh,94.8,15,158.23
Minor Millets,2016-17,Chattisgarh,89.2,25.4,284.75
Minor Millets,2017-18,Chattisgarh,89.47,21.13,236.17
Minor Millets,2018-19,Chhattisgarh,86.25,28.61,331.71
Minor Millets,2019-20,Chhattisgarh,63.37,19.04,300.46
Minor Millets,2018-19,D & N Haveli,0.09,0.08,933
Minor Millets,2019-20,D & N Haveli,0,0,
Minor Millets,1966-67,Dadra Nagar Haveli,,,
Minor Millets,1967-68,Dadra Nagar Haveli,,,
Minor Millets,1968-69,Dadra Nagar Haveli,,,
Minor Millets,1969-70,Dadra Nagar Haveli,,,
Minor Millets,1970-71,Dadra Nagar Haveli,,,
